#L      <tau_Wx^2>      error           Iz/Ig           error 
8	126.42585 2.994471213556041 0.0007162038949521242 5.622058686392583e-07
16	240.85309999999998 5.5773930402823035 0.0001867814958500466 3.606442814264628e-07
32	432.75034999999997 10.741683195133119 4.8240179184509324e-05 8.746989352350137e-08
48	602.4823 19.16711214679704 2.17558761782953e-05 3.0510902351529085e-08
64	765.4838000000001 23.312235507019416 1.2419363555818524e-05 2.5212181180101432e-08
96	984.5527999999998 23.723314236221853 5.578600129715549e-06 2.669173642987846e-08
128	1275.3741 30.787097563572758 3.1665544111650323e-06 1.8622787154178978e-08






