#beta	<tau_Wx^2>	error		Iz/Ig		error	
1	58.999790000000004 1.2829325527231907 7.527290639916537e-06 7.779915206519219e-09
2	47.96297499999999 1.346577413958401 3.410938470460179e-06 4.990643288669587e-09
4	46.686225 1.1217421798461769 1.6735993020522443e-06 2.2414390362733424e-09
8	43.2285 0.7893989321662801 8.413669344295382e-07 2.2036196317546938e-09
16	41.622614999999996 1.0913336456463425 4.223592273976111e-07 1.0378820203879606e-09
32	41.9694 0.8162012825148875 2.13437852779317e-07 8.258059954764963e-10
64	41.796075 1.4552430171420818 1.0826400040902629e-07 6.13480826454146e-10
128	43.66594736842106 0.9885682589751322 5.4927782129970566e-08 3.155512478939607e-10

