#beta	<tau_Ekin>	error		Iz/Ig		error	
1	137.65815000000003 3.268229507236859 7.527290639916537e-06 7.779915206519219e-09
2	116.77265000000003 2.7560201695799655 3.410938470460179e-06 4.990643288669587e-09
4	106.03300999999999 3.0436240084192923 1.6735993020522443e-06 2.2414390362733424e-09
8	104.01768999999999 1.9387055390795926 8.413669344295382e-07 2.2036196317546938e-09
16	101.33725000000001 1.420837335433989 4.223592273976111e-07 1.0378820203879606e-09
32	96.62350000000002 2.78062057135491 2.13437852779317e-07 8.258059954764963e-10
64	89.177255 1.3368981515251326 1.0826400040902629e-07 6.13480826454146e-10
128	89.81816842105263 1.539658334033442 5.4927782129970566e-08 3.155512478939607e-10
