8	82.26	15388672	1534325812
16	179.81	15880192	3542547204
32	179.93	25628672	3429418422
48	179.92	51167232	3489906014
#64	182.05	88731648	3023708222
64	180.14	90210304	3527754507
#96	179.92	173006848	673132029
96	603.46	248963072	11516276350
#128	180.18	213590016	412028546
128	605.51	523264000	11150706390
#192	180.13	158556160 	77189947
192	604.20	1364639744	9555894216
#256	180.00	193994752	44266816
256	909.19	2642042880	13074347820
