#Lx=Ly   <tau_Ekin>      error           Iz/Ig           error   
8       117.32367499999998 3.015646278057465 4.573890335475726e-05 2.4827217210260243e-08
16      107.91583000000003 2.381937038233909 1.0689459798340856e-05 8.170793169424247e-09
32      105.20534999999998 2.4808092331196243 2.666894948053155e-06 4.925713031678013e-09
64      102.62956500000003 2.2852114625896913 6.68002612359923e-07 2.1247498756502013e-09
128     92.28141           2.5615030013327806 1.690957110280197e-07 7.837513505740065e-10
